trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.9, 'e': 0.00017313019390581717}",20,11,12.219838442121716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.00016866250632484398}",25,9,25.887901019640648,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.9, 'e': 0.0001643655489809336}",25,15,20.694822582535252,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.9, 'e': 0.0001602307322544464}",20,11,2.8128579526915765,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.00015625}",25,19,12.750946316209971,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.00015241579027587258}",20,0,-12.795116111180265,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
82,False,"{'a': 0.9, 'e': 0.000148720999405116}",20,0,29.595982695676394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.9, 'e': 0.00014515894904920887}",30,20,17.912354876894263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.9, 'e': 0.0001417233560090703}",20,7,22.991255780396212,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.0001384083044982699}",20,13,14.329777880736373,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.00013520822065981613}",35,12,35.98630918708195,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.0001321178491214163}",30,10,35.11511804631145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.00012913223140495868}",25,15,10.571792664177512,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.00012624668602449185}",20,0,33.5658228940216,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.0001234567901234568}",35,13,35.97285208808982,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.00012075836251660427}",25,20,10.048622076090373,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
