trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.9, 'e': 5.6532308214144386e-05}",25,10,26.902618974181525,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 5.569169079973268e-05}",20,9,26.387520312992304,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 5.486968449931413e-05}",20,6,21.7283548536441,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 5.406574394463668e-05}",30,19,23.30791650264906,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.9, 'e': 5.3279343598486864e-05}",30,4,0.9492667287159142,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.9, 'e': 5.250997689561016e-05}",20,13,12.846726919617172,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 5.175715542673774e-05}",20,0,29.739229957233785,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.9, 'e': 5.102040816326531e-05}",20,9,15.245853949895798,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 5.02992807202857e-05}",25,11,23.24005412100966,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.9, 'e': 4.959333465582226e-05}",20,14,9.238714211726865,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 4.8902146804244705e-05}",20,8,20.09739990551003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 4.8225308641975306e-05}",25,16,15.907347274401396,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 4.756242568370987e-05}",20,16,6.969891254560378,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 4.6913116907487336e-05}",20,10,18.422422418505512,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9, 'e': 4.627701420704336e-05}",30,12,35.02769853295457,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 4.565376186997809e-05}",20,0,23.822480444128836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.9, 'e': 4.504301608035674e-05}",25,11,22.11009150543236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 4.4444444444444447e-05}",20,0,27.29689723511212,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.9, 'e': 4.385772553835358e-05}",20,0,6.937037948682489,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
152,False,"{'a': 0.9, 'e': 4.3282548476454294e-05}",30,11,27.785900479360105,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 4.2718612499466016e-05}",20,16,8.35947421914097,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
